종목코드,2025-07-17,2025-07-18
047050,,58.16_465.06_334.58
252670,,26.15_6.31_17.83
114800,,26.74_7.93_21.74
462330,,63.98_19.75_11.12
122630,,72.48_257.08_97.62
233740,,76.09_126.2_39.65
251340,,25.44_9.51_27.86
000660,,49.86_3252.78_3271.53
207940,,57.41_8738.57_6482.4
373220,,59.02_3468.52_2408.6
105560,,53.86_1151.43_986.41
005380,,54.69_1858.94_1539.83
000270,,56.84_682.31_518.1
068270,,69.27_1331.6_590.67
034020,,57.47_1097.02_811.77
012450,,57.14_12488.96_9367.68
329180,,51.22_4495.78_4282.31
055550,,65.58_751.15_394.23
028260,,56.92_2202.65_1667.41
012330,,58.5_2893.4_2052.79
035720,,50.31_699.13_690.64
086790,,62.88_1066.55_629.49
032830,,57.63_1718.28_1263.19
005490,,64.05_3423.76_1921.48
011200,,60.64_229.93_149.27
015760,,56.35_435.5_337.35
042660,,51.82_770.35_716.19
196170,,74.65_8410.59_2856.33
402340,,49.16_2967.87_3069.43
009540,,50.46_3252.49_3193.75
000810,,55.09_6391.62_5211.33
138040,,52.95_912.14_810.53
064350,,55.56_2902.88_2321.52
051910,,69.8_3992.43_1727.61
316140,,65.03_288.23_154.97
096770,,55.32_1597.1_1289.77
010130,,50.26_7172.92_7098.22
259960,,43.7_1901.32_2449.04
024110,,66.71_233.39_116.46
033780,,69.72_1127.97_489.85
034730,,55.36_3515.34_2834.76
267260,,59.58_6722.99_4560.25
010140,,65.73_250.79_130.78
323410,,50.78_422.47_409.55
030200,,64.06_411.1_230.61
006400,,57.93_2043.98_1484.26
018260,,64.25_2328.95_1296.09
003550,,53.96_700.1_597.45
079550,,69.35_11679.03_5161.19
006800,,52.01_316.94_292.46
066570,,54.96_511.8_419.36
017670,,57.77_305.75_223.52
352820,,38.7_1744.74_2763.7
003230,,57.32_18035.76_13427.11
267250,,66.02_1592.87_819.88
003670,,70.54_3102.21_1295.3
086280,,62.47_1299.59_780.69
272210,,51.5_672.73_633.48
009150,,56.01_978.81_768.62
005830,,64.97_1846.48_995.74
000150,,54.17_9596.71_8118.18
298040,,82.62_17794.85_3743.17
000100,,76.02_2308.84_728.25
071050,,58.92_2125.67_1482.25
143850,,66.71_237.42_118.5
047810,,52.7_823.81_739.31
180640,,48.75_1398.34_1470.32
000720,,46.66_693.49_792.72
010120,,53.26_3522.81_3091.87
064400,,48.99_1181.16_1230.01
090430,,49.53_1385.3_1411.75
326030,,68.05_1234.37_579.57
021240,,64.38_1200.25_664.15
005940,,61.92_247.44_152.2
010620,,59.62_3237.57_2192.85
010950,,55.75_439.61_348.97
016360,,53.35_884.29_773.25
000880,,53.89_1568.62_1342.25
069500,,73.69_239.07_85.37
029780,,68.13_514.3_240.63
032640,,66.04_100.47_51.67
488770,,100_11.4_0.0
278470,,65.71_3031.87_1582.04
009830,,57.88_573.69_417.52
039490,,57.23_2757.7_2061.02
006260,,51.99_2501.19_2309.57
005387,,59.83_1175.15_789.1
088980,,43.21_24.91_32.75
161390,,76.04_531.23_167.38
241560,,56.2_520.95_406.08
251270,,53.75_424.71_365.39
133690,,79.74_597.9_151.89
051900,,49.98_2066.97_2068.39
175330,,63.97_281.73_158.65
138930,,81.03_189.79_44.44
028050,,70.56_236.93_98.84
078930,,67.82_614.9_291.79
271560,,47.54_748.71_826.36
004020,,64.48_452.02_249.02
001040,,55.29_2418.54_1955.41
034220,,54.4_55.78_46.76
307950,,53.51_1554.31_1350.22
036570,,69.58_1952.64_853.77
035250,,65.18_129.1_68.97
036460,,54.95_513.74_421.13
007660,,71.58_1022.55_405.98
454910,,55.24_693.66_561.98
423160,,100.0_11.54_0.0
011790,,45.8_1177.15_1393.08
097950,,50.25_1675.73_1659.01
103140,,76.35_4058.4_1256.8
302440,,53.7_373.82_322.25
011070,,55.7_1346.01_1070.63
005385,,60.19_969.0_640.81
022100,,62.99_271.5_159.54
128940,,54.35_2637.73_2215.56
088350,,60.46_61.94_40.51
450080,,61.31_944.65_596.19
004990,,52.49_455.19_411.96
052690,,45.99_1010.66_1186.99
273130,,48.68_70.93_74.76
017800,,52.77_920.54_823.85
011780,,59.55_1130.84_768.0
008930,,63.62_655.88_375.01
002380,,74.4_5244.44_1804.63
026960,,61.08_277.5_176.79
011170,,53.73_761.07_655.29
001440,,53.52_139.01_120.73
102110,,73.78_239.73_85.19
489790,,51.51_707.03_665.68
192820,,44.57_3213.33_3995.77
483650,,57.25_4601.66_3436.47
062040,,66.08_1436.23_737.33
012750,,59.69_414.48_279.86
018670,,61.84_2883.88_1779.57
111770,,50.16_458.72_455.77
001720,,53.98_2767.43_2359.57
139480,,57.2_1036.25_775.46
462870,,36.97_306.95_523.39
001450,,54.56_304.73_253.74
161890,,51.41_1327.44_1254.67
139130,,71.31_171.45_68.98
030000,,66.28_175.34_89.22
051600,,43.73_403.92_519.84
004370,,52.66_2697.75_2425.51
012510,,58.59_1331.41_940.91
455890,,99.95_5.89_0.0
000240,,78.52_404.91_110.76
042670,,47.49_128.75_142.36
005930,70.43_726.09_304.78,70.65_681.37_283.01
042700,43.85_981.81_1257.32,43.85_911.68_1167.51
